longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,483102.52,<1H OCEAN
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,218965.06,<1H OCEAN
-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,204277.0,<1H OCEAN
-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,167198.0,<1H OCEAN
-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,208725.0,NEAR OCEAN
-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,164633.0,<1H OCEAN
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,115452.0,NEAR BAY
-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,434810.29,NEAR OCEAN
-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,286438.01,<1H OCEAN
-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,255629.07,NEAR OCEAN
-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,404021.28,<1H OCEAN
-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,70897.0,INLAND
-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,270757.02,INLAND
-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,273718.01,<1H OCEAN
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,236916.0,<1H OCEAN
-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,126286.0,INLAND
-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,95768.0,INLAND
-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,96253.0,INLAND
-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,344772.04,<1H OCEAN
-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,375669.08,<1H OCEAN
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,197168.0,<1H OCEAN
-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,297125.0,<1H OCEAN
-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,199021.0,<1H OCEAN
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,65540.0,INLAND
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,113740.0,INLAND
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,63552.0,INLAND
-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,316206.04,<1H OCEAN
-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,168877.0,INLAND
-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,75077.0,INLAND
-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,135989.0,INLAND
-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,174469.0,INLAND
-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,103168.0,INLAND
-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,138583.0,<1H OCEAN
-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,86196.0,INLAND
-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,61106.0,INLAND
-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,364669.04,<1H OCEAN
-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,132124.0,NEAR OCEAN
-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,229877.01,<1H OCEAN
-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,87289.0,INLAND
-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,320063.06,<1H OCEAN
-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,245326.0,INLAND
-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,328204.0,<1H OCEAN
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,200621.0,<1H OCEAN
-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,336742.07,NEAR BAY
-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,209587.0,<1H OCEAN
-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,170365.0,INLAND
-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,114071.0,INLAND
-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,164993.0,NEAR BAY
-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,110977.0,INLAND
-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,316026.05,<1H OCEAN
-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,106874.0,INLAND
-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,86953.0,INLAND
-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,400206.3,NEAR OCEAN
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,196490.0,<1H OCEAN
-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,500001.0,NEAR OCEAN
-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,177459.0,NEAR OCEAN
-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,411751.16,NEAR BAY
-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,195152.0,NEAR BAY
-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,394462.04,NEAR BAY
-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,146267.0,<1H OCEAN
-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,160881.0,NEAR OCEAN
-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,481124.77,<1H OCEAN
-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,283547.02,NEAR OCEAN
-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,341726.0,NEAR OCEAN
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,172143.0,INLAND
-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,142198.0,<1H OCEAN
-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,170630.16,INLAND
-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,157222.0,INLAND
-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,207149.0,<1H OCEAN
-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,492621.92,NEAR BAY
-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,302542.02,NEAR OCEAN
-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,279790.0,<1H OCEAN
-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,206783.0,<1H OCEAN
-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,149746.0,<1H OCEAN
-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,465999.45,<1H OCEAN
-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,177740.0,INLAND
-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,144671.0,<1H OCEAN
-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,160537.0,<1H OCEAN
-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,237680.0,NEAR OCEAN
-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,55955.0,INLAND
-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,171405.0,INLAND
-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,200693.0,<1H OCEAN
-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,175767.0,<1H OCEAN
-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,82070.0,INLAND
-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,316215.0,<1H OCEAN
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,198712.0,INLAND
-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,242541.02,<1H OCEAN
-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,229580.02,<1H OCEAN
-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,329327.17,NEAR OCEAN
-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,217698.0,<1H OCEAN
-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,106167.0,INLAND
-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,341085.2,NEAR OCEAN
-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,191262.0,NEAR BAY
-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,106362.0,<1H OCEAN
-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,70981.0,INLAND
-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,178828.0,NEAR OCEAN
-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,114587.0,<1H OCEAN
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,172044.0,NEAR OCEAN
-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,112155.0,<1H OCEAN
-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,398014.12,<1H OCEAN
-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,251282.06,NEAR OCEAN
-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,175914.0,<1H OCEAN
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,234161.01,<1H OCEAN
-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,87687.0,INLAND
-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,267399.0,<1H OCEAN
-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,331697.02,<1H OCEAN
-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,57760.0,INLAND
-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,168732.0,<1H OCEAN
-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,208416.0,<1H OCEAN
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,268151.01,NEAR BAY
-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,74426.0,INLAND
-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,174941.0,<1H OCEAN
-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,100336.0,INLAND
-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,131652.0,<1H OCEAN
-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,137092.0,INLAND
-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,73873.0,INLAND
-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,77323.0,INLAND
-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,267095.04,NEAR OCEAN
-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,401807.36,<1H OCEAN
-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,126385.0,INLAND
-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,313691.0,<1H OCEAN
-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,100154.0,INLAND
-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,239055.0,NEAR OCEAN
-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,270214.0,<1H OCEAN
-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,113937.0,INLAND
-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,128784.0,<1H OCEAN
-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,254990.0,<1H OCEAN
-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,122684.0,INLAND
-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,213611.01,NEAR BAY
-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,96690.0,NEAR OCEAN
-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,222066.01,<1H OCEAN
-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,346262.01,<1H OCEAN
-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,190053.0,<1H OCEAN
-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,499831.99,<1H OCEAN
-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,52381.0,INLAND
-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,65089.99,INLAND
-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,87442.0,INLAND
-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,104045.0,INLAND
-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,158730.0,<1H OCEAN
-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,110414.0,INLAND
-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,152494.0,<1H OCEAN
-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,56847.0,INLAND
-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,281564.0,<1H OCEAN
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,242720.01,<1H OCEAN
-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,65271.0,INLAND
-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,118030.0,INLAND
-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,498570.98,NEAR OCEAN
-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,487966.42,<1H OCEAN
-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,283755.0,<1H OCEAN
-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,440052.29,<1H OCEAN
-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,324391.01,<1H OCEAN
-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,228757.01,<1H OCEAN
-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,217020.01,NEAR OCEAN
-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,74568.0,INLAND
-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,167899.0,NEAR BAY
-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,80547.0,INLAND
-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,120486.0,INLAND
-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,181733.0,INLAND
-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,89414.0,INLAND
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,126405.0,NEAR BAY
-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,422536.02,NEAR BAY
-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,438007.45,<1H OCEAN
-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,114467.0,INLAND
-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,282624.03,<1H OCEAN
-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,486512.79,<1H OCEAN
-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,198509.0,NEAR BAY
-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,229201.0,INLAND
-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,83204.0,INLAND
